time,source,emotion,emotion_confidence,identity,identity_confidence,verified,face_status,faces_detected,result_image
2026-04-15 10:25:56,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102556_264759.jpg
2026-04-15 10:25:58,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102558_396711.jpg
2026-04-15 10:26:00,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102600_432244.jpg
2026-04-15 10:26:02,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102602_605025.jpg
2026-04-15 10:26:04,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102604_725390.jpg
2026-04-15 10:26:06,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102606_857141.jpg
2026-04-15 10:26:09,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102609_103982.jpg
2026-04-15 10:26:11,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102611_330943.jpg
2026-04-15 10:26:13,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102613_374163.jpg
2026-04-15 10:26:15,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102615_500890.jpg
2026-04-15 10:26:17,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102617_639455.jpg
2026-04-15 10:26:19,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102619_755879.jpg
2026-04-15 10:26:21,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102621_883261.jpg
2026-04-15 10:26:24,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102624_166217.jpg
2026-04-15 10:26:26,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102626_279709.jpg
2026-04-15 10:26:28,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102628_410736.jpg
2026-04-15 10:26:30,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102630_586880.jpg
